| Node_ID | Nation | Designation | Year | Type | Wingspan_ft | Length_ft | Max_Weight_lbs | Empty_Weight_lbs | Max_Speed_kts | Cruise_Speed_kts | Service_Ceiling_ft | Engine_Type | Num_Engines | Crew | Combat_Radius_nm | Role | Is_Modded | Modded |
| 4430 | Japanese | F-2A | 2000 | Multi-Role | 36.1 | 39.7 | 50000 | 30000 | 1400 | 979 | 58000 | Turbofan | 1 | 1 | 1000 | Air-to-air and air-to-ground | 1 | 0 |
| 4431 | Japanese | F-2B | 2002 | Multi-Role | 36.1 | 39.7 | 50000 | 30000 | 1420 | 993 | 58400 | Turbofan | 1 | 1 | 1030 | Air-to-air and air-to-ground | 1 | 0 |
| 4440 | Japanese | F-35A Lightning II (JASDF) | 2018 | Stealth Multi-Role | 35.0 | 50.8 | 74800 | 44880 | 1200 | 840 | 61600 | Turbofan | 2 | 1 | 1270 | Air-to-air and air-to-ground | 1 | 0 |
| 4441 | Japanese | F-15EX (JASDF) | 2024 | Multi-Role | 42.8 | 47.1 | 81000 | 48600 | 1640 | 1148 | 62800 | Turbofan | 2 | 2 | 1100 | Air-to-air and air-to-ground | 1 | 0 |
| 4450 | Japanese | C-1 | 1974 | Transport | 100.4 | 75.3 | 142000 | 85200 | 384 | 268 | 36400 | Turbofan | 4 | 4 | 1920 | Cargo transport, airlift | 1 | 1 |
| 4451 | Japanese | C-2 | 2017 | Transport | 144.5 | 108.4 | 271000 | 162600 | 642 | 449 | 40700 | Turbofan | 4 | 4 | 3210 | Cargo transport, airlift | 1 | 0 |
| 4452 | Japanese | C-130H Hercules (JASDF) | 1981 | Transport | 100.4 | 75.3 | 175000 | 105000 | 426 | 298 | 37100 | Turboprop | 4 | 4 | 2130 | Cargo transport, airlift | 1 | 0 |
| 4453 | Japanese | KC-767 | 2008 | Tanker | 40.0 | 44.0 | 25000 | 15000 | 400 | 280 | 40000 | Piston | 1 | 1 | 400 | Aerial refueling | 1 | 0 |
| 4460 | Japanese | UH-1H (JASDF) | 1973 | Utility Helo | 48.0 | 62.4 | 17600 | 10560 | 133 | 93 | 15650 | Turboshaft | 2 | 2 | 189 | Troop transport, utility | 1 | 1 |
| 4461 | Japanese | UH-60J Black Hawk | 1992 | Utility Helo | 53.7 | 69.8 | 23500 | 14100 | 159 | 111 | 16600 | Turboshaft | 2 | 2 | 246 | Troop transport, utility | 1 | 0 |
| 4462 | Japanese | UH-60J Kai | 2012 | Utility Helo | 53.7 | 69.8 | 23500 | 14100 | 159 | 111 | 17600 | Turboshaft | 2 | 2 | 306 | Troop transport, utility | 1 | 0 |
| 4470 | Japanese | AH-1S Cobra (JASDF) | 1978 | Attack Helo | 43.6 | 56.7 | 37200 | 22320 | 770 | 539 | 15900 | Turboshaft | 2 | 1 | 480 | Close air support, ground attack | 1 | 0 |
| 4471 | Japanese | AH-64D Apache (JASDF) | 2006 | Attack Helo | 49.2 | 64.0 | 48400 | 29040 | 1190 | 833 | 17300 | Turboshaft | 2 | 1 | 760 | Close air support, ground attack | 1 | 0 |
| 4480 | Japanese | CH-47J Chinook | 1986 | Transport Helo | 140.8 | 105.6 | 178000 | 106800 | 456 | 319 | 37600 | Turbofan | 4 | 4 | 2280 | Cargo transport, airlift | 1 | 0 |
| 4481 | Japanese | CH-47JA Chinook | 2001 | Transport Helo | 152.8 | 114.6 | 223000 | 133800 | 546 | 382 | 39100 | Turbofan | 4 | 4 | 2730 | Cargo transport, airlift | 1 | 0 |
